,Week,Interest,Country,Crypto
10457,2025-05-04,2,USA,Dogecoin
10458,2025-05-11,2,USA,Dogecoin
10459,2025-05-18,2,USA,Dogecoin
10460,2025-05-25,2,USA,Dogecoin
10461,2025-06-01,1,USA,Dogecoin
10462,2025-06-08,1,USA,Dogecoin
10463,2025-06-15,1,USA,Dogecoin
10464,2025-06-22,1,USA,Dogecoin
10465,2025-06-29,1,USA,Dogecoin
10466,2025-07-06,3,USA,Dogecoin
10467,2025-07-13,3,USA,Dogecoin
10468,2025-07-20,4,USA,Dogecoin
10469,2025-07-27,3,USA,Dogecoin
10470,2025-08-03,2,USA,Dogecoin
10471,2025-08-10,2,USA,Dogecoin
10472,2025-08-17,1,USA,Dogecoin
10473,2025-08-24,1,USA,Dogecoin
10474,2025-08-31,1,USA,Dogecoin
10475,2025-09-07,2,USA,Dogecoin
10476,2025-09-14,2,USA,Dogecoin
10477,2025-09-21,1,USA,Dogecoin
10478,2025-09-28,1,USA,Dogecoin
10479,2025-10-05,2,USA,Dogecoin
10480,2020-10-11,0,Brasil,Ripple
10481,2020-10-18,0,Brasil,Ripple
10482,2020-10-25,0,Brasil,Ripple
10483,2020-11-01,0,Brasil,Ripple
10484,2020-11-08,0,Brasil,Ripple
10485,2020-11-15,0,Brasil,Ripple
10486,2020-11-22,0,Brasil,Ripple
10487,2020-11-29,0,Brasil,Ripple
10488,2020-12-06,0,Brasil,Ripple
10489,2020-12-13,0,Brasil,Ripple
10490,2020-12-20,0,Brasil,Ripple
10491,2020-12-27,0,Brasil,Ripple
10492,2021-01-03,0,Brasil,Ripple
10493,2021-01-10,0,Brasil,Ripple
10494,2021-01-17,0,Brasil,Ripple
10495,2021-01-24,0,Brasil,Ripple
10496,2021-01-31,0,Brasil,Ripple
10497,2021-02-07,0,Brasil,Ripple
10498,2021-02-14,0,Brasil,Ripple
10499,2021-02-21,0,Brasil,Ripple
10500,2021-02-28,0,Brasil,Ripple
10501,2021-03-07,0,Brasil,Ripple
10502,2021-03-14,0,Brasil,Ripple
10503,2021-03-21,0,Brasil,Ripple
10504,2021-03-28,0,Brasil,Ripple
10505,2021-04-04,0,Brasil,Ripple
10506,2021-04-11,0,Brasil,Ripple
10507,2021-04-18,0,Brasil,Ripple
10508,2021-04-25,0,Brasil,Ripple
10509,2021-05-02,0,Brasil,Ripple
10510,2021-05-09,0,Brasil,Ripple
10511,2021-05-16,0,Brasil,Ripple
10512,2021-05-23,0,Brasil,Ripple
10513,2021-05-30,0,Brasil,Ripple
10514,2021-06-06,0,Brasil,Ripple
10515,2021-06-13,0,Brasil,Ripple
10516,2021-06-20,0,Brasil,Ripple
10517,2021-06-27,0,Brasil,Ripple
10518,2021-07-04,0,Brasil,Ripple
10519,2021-07-11,0,Brasil,Ripple
10520,2021-07-18,0,Brasil,Ripple
10521,2021-07-25,0,Brasil,Ripple
10522,2021-08-01,0,Brasil,Ripple
10523,2021-08-08,0,Brasil,Ripple
10524,2021-08-15,0,Brasil,Ripple
10525,2021-08-22,1,Brasil,Ripple
10526,2021-08-29,0,Brasil,Ripple
10527,2021-09-05,0,Brasil,Ripple
10528,2021-09-12,0,Brasil,Ripple
10529,2021-09-19,0,Brasil,Ripple
10530,2021-09-26,0,Brasil,Ripple
10531,2021-10-03,0,Brasil,Ripple
