Price,Open,High,Low,Close,Volume
Ticker,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
Date,,,,,
08/05/2023,0.076696999,0.077106997,0.069567002,0.071985997,2030757495
15/05/2023,0.071980998,0.075308003,0.071181998,0.072141998,1479616632
22/05/2023,0.072144002,0.073917001,0.069224,0.073613003,1311577928
29/05/2023,0.073615998,0.073918998,0.070841998,0.072471,1178642354
05/06/2023,0.072475001,0.072632,0.058536001,0.061586998,2867394811
12/06/2023,0.061579,0.063749,0.058949001,0.062167,1478311589
19/06/2023,0.062167,0.069663003,0.060911,0.066763997,1903405865
26/06/2023,0.066753998,0.070789002,0.061584,0.068038002,2444664293
03/07/2023,0.068042003,0.071424,0.064553,0.065435,1851641723
10/07/2023,0.065436997,0.074708,0.064000003,0.069554001,3105344712
17/07/2023,0.069558002,0.076390997,0.067743003,0.071819,3144197184
24/07/2023,0.071811996,0.083341002,0.070556,0.078061,5607608805
31/07/2023,0.078063004,0.079655997,0.072795004,0.074266002,2517444641
07/08/2023,0.074262001,0.077150002,0.07237,0.074782997,2136559864
14/08/2023,0.074781001,0.076413997,0.058340002,0.063830003,2784837694
21/08/2023,0.063830003,0.064505003,0.061074998,0.063170999,1524928480
28/08/2023,0.063174002,0.068065003,0.062210999,0.063173003,1822724485
04/09/2023,0.063173003,0.064490996,0.060844999,0.061326999,1276250230
11/09/2023,0.061324,0.062884003,0.059486002,0.061517,1326531704
18/09/2023,0.061517,0.063307002,0.060702,0.060743,1489120331
25/09/2023,0.060741998,0.063519001,0.059907001,0.063193001,978509638
02/10/2023,0.063189998,0.063960999,0.060458001,0.061007999,987910615
09/10/2023,0.061009999,0.06103,0.057466,0.059349999,984368145
16/10/2023,0.059356999,0.061666999,0.058013,0.061595999,1098731648
23/10/2023,0.061827999,0.074887998,0.061769001,0.069358997,3761083743
30/10/2023,0.069358997,0.071598999,0.066128999,0.071223997,2665203998
06/11/2023,0.071223997,0.081698,0.070556998,0.077981003,5714903851
13/11/2023,0.077979997,0.087061003,0.070280999,0.080576003,7597398435
20/11/2023,0.080574997,0.082039997,0.071492001,0.078704,3285930840
27/11/2023,0.07869,0.087146997,0.077036999,0.085615002,4136984134
04/12/2023,0.085616998,0.105431996,0.085431002,0.101801001,9122574750
11/12/2023,0.101811998,0.105837002,0.090604998,0.093097001,6071943341
18/12/2023,0.093084,0.097211003,0.087187,0.091894999,4118497406
25/12/2023,0.091903001,0.095167004,0.088970996,0.089472003,2810328912
01/01/2024,0.089473002,0.094329998,0.077634998,0.078225002,3698094606
08/01/2024,0.078227997,0.087635003,0.074972004,0.079977997,4408062503
15/01/2024,0.079968996,0.089997999,0.075152002,0.085272998,3160931231
22/01/2024,0.085291997,0.085415997,0.076090999,0.078813002,2647707297
29/01/2024,0.078813002,0.082872003,0.077684,0.078238003,1995154686
05/02/2024,0.078248002,0.083278999,0.077504002,0.081193,1762694207
12/02/2024,0.081202999,0.088048004,0.079567999,0.085166,3133302701
19/02/2024,0.085169002,0.091208003,0.082172997,0.086098999,3280322619
26/02/2024,0.086098,0.155759007,0.084292002,0.153835997,22334621631
04/03/2024,0.153941005,0.205439001,0.130103007,0.169919997,32922782417
11/03/2024,0.169907004,0.191512004,0.137731999,0.15433,21722771461
18/03/2024,0.154328004,0.179900005,0.123452999,0.176452994,18809525925
25/03/2024,0.176452994,0.226581007,0.170166001,0.220063999,24452739335
01/04/2024,0.220064998,0.220067993,0.168036997,0.199108005,18708726846
08/04/2024,0.199105993,0.208690003,0.132194996,0.162285,21112740285
15/04/2024,0.162285,0.168889999,0.139643997,0.158260003,15127276834
22/04/2024,0.158259004,0.164094001,0.143298998,0.146698996,7266562072
29/04/2024,0.146698996,0.169092,0.120347999,0.161068007,11382284599
06/05/2024,0.161065996,0.168941006,0.140016004,0.141231,7332439999
13/05/2024,0.141231,0.159024999,0.136042997,0.149106994,9630331089
20/05/2024,0.149106994,0.174549997,0.148099005,0.166219994,14388851244
27/05/2024,0.166219994,0.173035994,0.154907003,0.157201007,7820745976
03/06/2024,0.157201007,0.165169999,0.143117994,0.146773994,6514905015
10/06/2024,0.146767005,0.150325,0.132164001,0.136937007,5810536357
17/06/2024,0.136940002,0.138023004,0.115391999,0.122257002,5107718376
24/06/2024,0.122249,0.128521994,0.114730999,0.124305002,4166874492
01/07/2024,0.124303997,0.127235994,0.093795002,0.104231998,5950884508
08/07/2024,0.104235001,0.116494998,0.099163003,0.115448996,4211766169
15/07/2024,0.115470998,0.143087,0.114789002,0.140168995,6393399136
22/07/2024,0.140166998,0.142469004,0.120323002,0.130074993,6838028664
29/07/2024,0.130076006,0.134948999,0.099606,0.103733003,5380620443
05/08/2024,0.103731997,0.110794,0.080830999,0.100566,7827011682
12/08/2024,0.100566,0.108842999,0.097741999,0.100171998,3759055832
19/08/2024,0.100171998,0.115239002,0.098711997,0.109697998,4178688225
26/08/2024,0.109699003,0.110292003,0.094342999,0.095353998,3595638716
02/09/2024,0.095353998,0.100706004,0.089373,0.096079998,3488829754
09/09/2024,0.096079998,0.108290002,0.095831998,0.102932997,3665866448
16/09/2024,0.102937996,0.110372998,0.098458,0.106339,3793497625
23/09/2024,0.106339,0.131950006,0.104719996,0.124674,7071795526
30/09/2024,0.124669001,0.124669001,0.101529002,0.111479998,5542238919
07/10/2024,0.111479998,0.115208998,0.103308,0.111336,4624315523
14/10/2024,0.111336,0.146543995,0.109429002,0.142083004,11805160383
21/10/2024,0.142084002,0.149533004,0.128547996,0.144311994,10039115804
28/10/2024,0.144310996,0.179226995,0.141176,0.151454002,17359643200
04/11/2024,0.151454002,0.296613991,0.148580998,0.279094994,46451488156
11/11/2024,0.279094994,0.435862988,0.276142001,0.366560012,1.30358E+11
18/11/2024,0.366569996,0.477459997,0.359234989,0.42988199,84046747739
25/11/2024,0.429895014,0.449281007,0.367318988,0.440023005,51667651335
02/12/2024,0.440048993,0.483509988,0.391472012,0.467296988,68751788207
09/12/2024,0.467299014,0.467299014,0.366840005,0.406271994,44995466774
16/12/2024,0.406295002,0.413594007,0.26444,0.312191993,45230624622
23/12/2024,0.312198997,0.341365993,0.303277999,0.314319998,17804490153
30/12/2024,0.314319998,0.397996992,0.306546986,0.382562995,21318458643
06/01/2025,0.382494003,0.397807986,0.315102994,0.335958987,22369480984
13/01/2025,0.335956007,0.433512002,0.311399013,0.357757002,38174176091
20/01/2025,0.357739002,0.400169998,0.335898995,0.336326003,29278825605
27/01/2025,0.336322993,0.340676993,0.254554987,0.267509013,18800233003
03/02/2025,0.267509997,0.292463988,0.211720005,0.249290004,23298556163
10/02/2025,0.249289006,0.285293013,0.242061004,0.265740007,11419907471
17/02/2025,0.265758008,0.268498987,0.234918997,0.243022993,8762002496
24/02/2025,0.243021995,0.243827999,0.181876004,0.239267007,16201211999
03/03/2025,0.239259005,0.239653006,0.166287005,0.167803004,13000622115
10/03/2025,0.167803004,0.180282995,0.145349994,0.168235004,10340509948
17/03/2025,0.168233007,0.179005995,0.163237005,0.172252998,5994536887
24/03/2025,0.172246993,0.205378994,0.164974004,0.166318998,9732785710
31/03/2025,0.166318998,0.178698003,0.146451995,0.148845002,8926557461
07/04/2025,0.148845002,0.169333994,0.131506994,0.162791997,11445834389
14/04/2025,0.162791997,0.168641001,0.150943995,0.155184001,4768679247
21/04/2025,0.155184001,0.192442998,0.155139998,0.179672003,10258753415
28/04/2025,0.179673001,0.184082001,0.167269006,0.170552,6513722010
05/05/2025,0.170552,0.258738995,0.164398,0.231508002,13286243619
12/05/2025,0.231509,0.251540989,0.211487994,0.234181002,17709857721
19/05/2025,0.233961001,0.253616989,0.214544997,0.224984005,15709175188
26/05/2025,0.224983007,0.232006997,0.186063007,0.193632007,10279323114
02/06/2025,0.193632007,0.200250998,0.169232994,0.184173003,7341783002
09/06/2025,0.184173003,0.204331994,0.170791999,0.175669,8884452566
16/06/2025,0.175669,0.181015,0.143774003,0.151322007,7744312539
23/06/2025,0.151320994,0.169775993,0.149158001,0.169602007,5757736667
30/06/2025,0.169602007,0.175191,0.157036006,0.171985999,6499825356
07/07/2025,0.171985999,0.212934002,0.165904,0.198595002,12454339811
14/07/2025,0.198595002,0.276966006,0.188750997,0.272929013,28405343917
21/07/2025,0.272929013,0.286756009,0.221982002,0.240803003,26173861867
28/07/2025,0.240803003,0.248214006,0.189541996,0.198863998,16177826690
04/08/2025,0.198863,0.246097997,0.195740998,0.234099001,15005132199
11/08/2025,0.234102994,0.254779011,0.218133003,0.234565005,22644525052
18/08/2025,0.234565005,0.244501993,0.208529994,0.231797993,22095883440
25/08/2025,0.231803998,0.234109998,0.207201004,0.213815004,14780775742
01/09/2025,0.213811994,0.229052007,0.205452994,0.228442997,13755350712
08/09/2025,0.228442997,0.305642009,0.226950005,0.278589994,33912912594
15/09/2025,0.278587013,0.287901998,0.258969009,0.261159003,26316729015
22/09/2025,0.261159986,0.262041003,0.22157,0.237388,22690963793
29/09/2025,0.237388998,0.264968991,0.226797,0.252954006,19796703638
06/10/2025,0.252954006,0.270047009,0.138465941,0.186233073,20793032918
